iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
CYP,Europe,Cyprus,3/9/2020,2,2,,,,,2.283,2.283,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,11.11,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/10/2020,3,1,,,,,3.425,1.142,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,22.22,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/11/2020,6,3,,,,,6.85,3.425,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,22.22,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/12/2020,6,0,,,,,6.85,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,22.22,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/13/2020,14,8,,,,,15.984,9.133,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,38.89,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/14/2020,26,12,3.714,,,0,29.684,13.7,4.241,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,38.89,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/15/2020,26,0,3.714,,,0,29.684,0,4.241,,,0,,0,0,0,0,,,8,9.133,,,,,,,,,,,,,,,,,,,44.44,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/16/2020,33,7,4.429,,,0,37.676,7.992,5.056,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,51.85,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/17/2020,46,13,6.143,,,0,52.517,14.842,7.013,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,51.85,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/18/2020,49,3,6.143,,,0,55.943,3.425,7.013,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,51.85,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/19/2020,67,18,8.714,,,0,76.493,20.55,9.949,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,51.85,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/20/2020,67,0,7.571,,,0,76.493,0,8.644,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,51.85,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/21/2020,84,17,8.286,,,0,95.901,19.409,9.46,,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,51.85,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/22/2020,95,11,9.857,1,1,0.143,108.46,12.559,11.254,1.142,1.142,0.163,,0,0,0,0,5,5.708,23,26.259,,,,,,,,,,,,,,,,,,,51.85,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/23/2020,116,21,11.857,1,0,0.143,132.435,23.975,13.537,1.142,0,0.163,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,62.96,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/24/2020,124,8,11.143,3,2,0.429,141.569,9.133,12.722,3.425,2.283,0.489,1.11,4,4.567,24,27.4,,,,,,,,,,,,,,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/25/2020,132,8,11.857,3,0,0.429,150.702,9.133,13.537,3.425,0,0.489,1.12,5,5.708,23,26.259,,,,,,,,,,,,,,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/26/2020,146,14,11.286,3,0,0.429,166.686,15.984,12.885,3.425,0,0.489,1.15,6,6.85,21,23.975,,,,,,,,,,,,,,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/27/2020,162,16,13.571,5,2,0.714,184.953,18.267,15.494,5.708,2.283,0.815,1.17,8,9.133,29,33.109,,,,,,,,,,,,,,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/28/2020,179,17,13.571,5,0,0.714,204.361,19.409,15.494,5.708,0,0.815,1.19,11,12.559,34,38.817,,,,,,5917,6.755,,,,,,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/29/2020,214,35,17,5,0,0.571,244.32,39.959,19.409,5.708,0,0.652,1.22,9,10.275,33,37.676,18,20.55,53,60.509,530,6447,7.36,0.605,,,,,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/30/2020,230,16,16.286,7,2,0.857,262.587,18.267,18.593,7.992,2.283,0.979,1.23,10,11.417,34,38.817,,,,,400,6847,7.817,0.457,,,,,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,3/31/2020,262,32,19.714,8,1,0.714,299.121,36.534,22.507,9.133,1.142,0.815,1.24,11,12.559,40,45.667,,,,,550,7397,8.445,0.628,,,,,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,4/1/2020,320,58,26.857,9,1,0.857,365.339,66.218,30.662,10.275,1.142,0.979,1.24,11,12.559,54,61.651,,,,,779,8176,9.334,0.889,,,,,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,4/2/2020,356,36,30,10,1,1,406.44,41.101,34.251,11.417,1.142,1.142,1.21,9,10.275,51,58.226,,,,,603,8779,10.023,0.688,,,,,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,4/3/2020,396,40,33.429,11,1,0.857,452.107,45.667,38.165,12.559,1.142,0.979,1.18,12,13.7,55,62.793,,,,,668,9447,10.785,0.763,,,,,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,4/4/2020,426,30,35.286,11,0,0.857,486.357,34.251,40.285,12.559,0,0.979,1.14,11,12.559,56,63.934,,,,,698,10145,11.582,0.797,604,0.69,0.058,17.1,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,4/5/2020,446,20,33.143,9,-2,0.571,509.191,22.834,37.839,10.275,-2.283,0.652,1.1,11,12.559,55,62.793,9,10.275,37,42.242,792,10937,12.487,0.904,641,0.732,0.052,19.3,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,4/6/2020,465,19,33.571,9,0,0.286,530.883,21.692,38.328,10.275,0,0.326,1.07,11,12.559,48,54.801,,,,,718,11655,13.306,0.82,687,0.784,0.049,20.5,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,4/7/2020,494,29,33.143,9,0,0.143,563.992,33.109,37.839,10.275,0,0.163,1.05,13,14.842,51,58.226,,,,,1353,13008,14.851,1.545,802,0.916,0.041,24.2,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,4/8/2020,526,32,29.429,9,0,0,600.526,36.534,33.598,10.275,0,0,1.03,14,15.984,45,51.376,,,,,1256,14264,16.285,1.434,870,0.993,0.034,29.6,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,4/9/2020,564,38,29.714,10,1,0,643.91,43.384,33.924,11.417,1.142,0,1.01,12,13.7,51,58.226,,,,,1216,15480,17.673,1.388,957,1.093,0.031,32.2,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,4/10/2020,595,31,28.429,10,0,-0.143,679.302,35.392,32.456,11.417,0,-0.163,0.97,12,13.7,50,57.084,,,,,819,16299,18.608,0.935,979,1.118,0.029,34.4,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,4/11/2020,616,21,27.143,10,0,-0.143,703.277,23.975,30.989,11.417,0,-0.163,0.94,12,13.7,45,51.376,,,,,811,17110,19.534,0.926,995,1.136,0.027,36.7,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CYP,Europe,Cyprus,4/12/2020,633,17,26.714,11,1,0.286,722.686,19.409,30.499,12.559,1.142,0.326,0.91,13,14.842,42,47.951,8,9.133,20,22.834,804,17914,20.452,0.918,997,1.138,0.027,37.3,tests performed,,,,,,,,,,92.59,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
